City,Price
Rayagada,94.20 ₹/L
Reasi,84.05 ₹/L
Rewa,93.40 ₹/L
Rewari,87.53 ₹/L
Ri Bhoi,85.81 ₹/L
Rohtak,88.13 ₹/L
Rohtas,92.92 ₹/L
Rudraprayag,89.54 ₹/L
Rupnagar,88.23 ₹/L
Sabar Kantha,91.45 ₹/L
Sagar,91.88 ₹/L
Saharanpur,88.22 ₹/L
Saharsa,92.21 ₹/L
Sahibganj,94.02 ₹/L
Saiha,88.57 ₹/L
Salem,93.65 ₹/L
Samastipur,91.77 ₹/L
Samba,83.33 ₹/L
Sambalpur,93.34 ₹/L
Sambhal,88.01 ₹/L
Sangareddy,95.94 ₹/L
Sangli,91.39 ₹/L
Sangrur,87.19 ₹/L
Sant Kabir Nagar,88.14 ₹/L
Sant Ravi Nagar,88.31 ₹/L
Saraikela Kharasawan,92.55 ₹/L
Saran,92.11 ₹/L
Sas Nagar,88.26 ₹/L
Satara,91.41 ₹/L
Satna,93.40 ₹/L
Sawaimadhopur,91.21 ₹/L
Sehore,91.82 ₹/L
Senapati,86.10 ₹/L
Seoni,93.16 ₹/L
Sepahijhala,87.10 ₹/L
Serchhip,88.58 ₹/L
Sewan,92.63 ₹/L
Shahdol,93.39 ₹/L
Shahjahanpur,88.17 ₹/L
Shajapur,92.85 ₹/L
Shamli,88.05 ₹/L
Shd Bhagat Singh Ngr,87.55 ₹/L
Sheikhpura,92.73 ₹/L
Sheohar,92.70 ₹/L
Sheopur,93.40 ₹/L
Shimla,86.94 ₹/L
Shimoga,91.93 ₹/L
Shivpuri,93.29 ₹/L
Shopian,85.52 ₹/L
Shravasti,88.55 ₹/L
Sibsagar,90.65 ₹/L
Siddipet,95.91 ₹/L
Sidharthnagar,88.73 ₹/L
Sidhi,93.09 ₹/L
Sikar,90.96 ₹/L
Simdega,93.61 ₹/L
Sindhudurg,92.03 ₹/L
Singrauli,92.02 ₹/L
Sirmaur,86.80 ₹/L
Sirohi,91.73 ₹/L
Sirsa,89.34 ₹/L
Sitamarhi,92.40 ₹/L
Sitapur,88.56 ₹/L
Sivaganga,93.61 ₹/L
Solan,86.69 ₹/L
Solapur,91.53 ₹/L
Sonapur,93.86 ₹/L
Sonbhadra,89.17 ₹/L
Sonipat,87.78 ₹/L
Sonitpur,89.87 ₹/L
South 24 Parganas,92.21 ₹/L
South Andaman,78.05 ₹/L
South Delhi,87.67 ₹/L
South District,89.05 ₹/L
South East Delhi,87.67 ₹/L
South Garo Hills,87.81 ₹/L
South Goa,88.28 ₹/L
South Tripura,86.70 ₹/L
South West Delhi,87.67 ₹/L
Southwest Khasi Hils,87.81 ₹/L
Srikakulam,97.49 ₹/L
Srinagar,87.02 ₹/L
Sukma,95.06 ₹/L
Sultanpur,89.16 ₹/L
Sundargarh,94.19 ₹/L
Supaul,92.70 ₹/L
Surajpur,94.01 ₹/L
Surat,90.25 ₹/L
Surendranagar,90.57 ₹/L
Surguja,94.51 ₹/L
Suryapet,95.20 ₹/L
Tamenglong,86.52 ₹/L
Tapi,90.50 ₹/L
Tarn Taran,87.91 ₹/L
Tawang,82.17 ₹/L
Tehri Garhwal,89.42 ₹/L
Tengnoupal,86.07 ₹/L
Teni,93.53 ₹/L
Thane,90.86 ₹/L
Thanjavur,93.18 ₹/L
The Dangs,91.30 ₹/L
Thiruvananthapuram,96.48 ₹/L
Thiruvarur,93.35 ₹/L
Thoubal,85.39 ₹/L
Thrissur,94.75 ₹/L
Tikamgarh,92.87 ₹/L
Tinsukia,89.38 ₹/L
Tirap,82.17 ₹/L
Tiruchchirappalli,93.09 ₹/L
Tirunelveli,92.96 ₹/L
Tirupur,93.02 ₹/L
Tiruvallur,92.55 ₹/L
Tiruvannamalai,94.09 ₹/L
Tonk,91.24 ₹/L
Tuensang,89.92 ₹/L
Tumkur,91.98 ₹/L
Tuticorin,92.83 ₹/L
Udaipur,91.73 ₹/L
Udalguri,90.03 ₹/L
Udham Singh Nagar,88.03 ₹/L
Udhampur,84.50 ₹/L
Udupi,90.65 ₹/L
Ujjain,92.45 ₹/L
Ukhrul,85.91 ₹/L
Umaria,93.40 ₹/L
Una,85.42 ₹/L
Unakoti,85.20 ₹/L
Unnao,87.94 ₹/L
Upper Siang,82.05 ₹/L
Upper Sibansiri,82.19 ₹/L
Uttar Dinajpur,92.35 ₹/L
Uttar Kannad,91.92 ₹/L
Uttarkashi,89.61 ₹/L
Vadodara,89.79 ₹/L
Vaishali,91.62 ₹/L
Valsad,90.96 ₹/L
Varanasi,88.78 ₹/L
Vellore,93.73 ₹/L
Vidisha,92.17 ₹/L
Vikarabad,96.76 ₹/L
Viluppuram,93.81 ₹/L
Virudunagar,93.46 ₹/L
Vishakhapatnam,96.22 ₹/L
Vizianagaram,97.06 ₹/L
Wanaparthy,96.79 ₹/L
Warangal,95.17 ₹/L
Warangal Rural,95.58 ₹/L
Wardha,90.94 ₹/L
Washim,91.28 ₹/L
Wayanad,96.09 ₹/L
West Champaran,93.20 ₹/L
West Delhi,87.67 ₹/L
West District,89.05 ₹/L
West Garo Hills,87.16 ₹/L
West Godavari,97.62 ₹/L
West Imphal,85.34 ₹/L
West Kameng,82.17 ₹/L
West Karbi Anglong,90.91 ₹/L
West Khasi Hills,87.81 ₹/L
West Siang,82.12 ₹/L
West Singhbhum,93.89 ₹/L
West Tripura,86.55 ₹/L
Wokha,88.50 ₹/L
Yadadri Bhuvanagiri,95.87 ₹/L
Yadgir,91.44 ₹/L
Yamunanagar,88.35 ₹/L
Yanam,86.75 ₹/L
Yavatmal,92.03 ₹/L
Zunheboto,89.94 ₹/L
