City,Price,Latitude,Longitude,Distance_from_Toranagallu_km
Mumbai City,90.03 ₹/L,19.125501,72.897224,
Mungeli,94.25 ₹/L,22.06709,81.68822,
Munger,92.37 ₹/L,25.378708,86.471026,
Murshidabad,92.67 ₹/L,24.171817,88.281811,
Muzaffarnagar,87.97 ₹/L,29.473043,77.703975,
Muzaffarpur,92.39 ₹/L,26.125773,85.386804,
Mysore,90.59 ₹/L,12.317074,76.638276,
Nabarangapur,94.20 ₹/L,19.23114,82.54826,
Nadia,93.33 ₹/L,23.410577,88.369737,
Nagaon,90.37 ₹/L,26.351702,92.675322,
Nagapattinam,93.94 ₹/L,10.764367,79.841042,
Nagarkurnool,96.88 ₹/L,22.687581,79.370366,
Nagaur,90.85 ₹/L,27.199134,73.740932,
Nagpur,90.98 ₹/L,21.145537,79.074901,
Nainital,88.26 ₹/L,29.395155,79.449459,
Nalanda,92.15 ₹/L,25.215537,85.429865,
Nalbari,90.06 ₹/L,26.666075,91.385966,
Nalgonda,95.43 ₹/L,17.057678,79.268519,
Namakkal,93.27 ₹/L,11.21919,78.167871,
Namsai,82.20 ₹/L,27.668325,95.870132,
Nanded,92.03 ₹/L,19.138543,77.311601,
Nandurbar,91.48 ₹/L,21.370082,74.240498,
Narayanpet,96.83 ₹/L,16.74799,77.4954,
Narmada,90.94 ₹/L,21.753368,73.652677,
Narsimhapur,92.34 ₹/L,22.95078,79.184,
Nashik,91.27 ₹/L,19.993899,73.786881,
Navsari,90.62 ₹/L,20.850393,72.920035,
Nawada,92.28 ₹/L,24.886594,85.543801,
Nayagarh,93.04 ₹/L,20.12856,85.09563,
Neemach,93.06 ₹/L,22.687581,79.370366,
Nellore,97.82 ₹/L,14.438633,79.975989,
New Delhi,87.67 ₹/L,28.557163,77.163665,
Nicobar,78.05 ₹/L,7.034348,93.809141,
Nilgiris,94.45 ₹/L,11.45165,76.680269,
Nirmal,97.10 ₹/L,19.091748,78.344161,
Nizamabad,97.10 ₹/L,18.672508,78.094354,
Noney,86.00 ₹/L,22.687581,79.370366,
North 24 Parganas,92.55 ₹/L,13.111288,80.28563,
North And Middle Andaman,78.05 ₹/L,13.21409,92.94347,
North Delhi,87.67 ₹/L,28.48719,77.181057,
North District,89.05 ₹/L,22.687581,79.370366,
North East Delhi,87.67 ₹/L,28.557163,77.163665,
North Garo Hills,86.49 ₹/L,24.15216,84.57896,
North Goa,89.03 ₹/L,15.534861,73.93041,
North Tripura,85.26 ₹/L,24.122893,92.19402,
North West Delhi,87.67 ₹/L,28.561307,77.219696,
Nuaparha,94.20 ₹/L,22.687581,79.370366,
Osmanabad,91.89 ₹/L,18.243469,76.11309,
Pakur,93.45 ₹/L,24.63846,87.83893,
Palakkad,95.50 ₹/L,10.767827,76.657428,
Palamau,94.27 ₹/L,21.96037,78.88632,
Palghar,90.73 ₹/L,19.695769,72.767941,
Pali,90.84 ₹/L,25.768091,73.326433,
Palwal,88.36 ₹/L,28.141134,77.327386,
Panch Mahal,90.21 ₹/L,12.87547,74.840807,
Panchkula,88.73 ₹/L,30.689813,76.851131,
Panipat,87.59 ₹/L,29.388567,76.984009,
Panna,93.32 ₹/L,24.72147,80.18808,
Papumpare,80.53 ₹/L,,,
Parbhani,92.03 ₹/L,19.260906,76.774624,
Paschim Bardhaman,91.86 ₹/L,23.252282,87.871087,
Paschim Medinipur,92.58 ₹/L,22.388391,87.276758,
Patan,90.38 ₹/L,23.855666,72.120373,
Pathananthitta,95.50 ₹/L,,,
Pathankot,88.40 ₹/L,32.273447,75.651161,
Patiala,87.55 ₹/L,30.331281,76.389248,
Patna,91.82 ₹/L,25.592092,85.123961,
Pauri,88.43 ₹/L,30.15356,78.76998,
Peddapalli,96.10 ₹/L,16.17261,77.76066,
Perambalur,93.58 ₹/L,11.234457,78.879879,
Peren,88.33 ₹/L,25.498385,93.618825,
Phek,89.89 ₹/L,25.66667,94.5,
Pherzawl,87.18 ₹/L,22.687581,79.370366,
Pilibhit,88.35 ₹/L,28.625122,79.807413,
Pithoragarh,89.62 ₹/L,29.58349,80.20947,
Pondicherry,86.53 ₹/L,10.943987,79.796105,
Poonch,85.44 ₹/L,33.76969,74.09212,
Porbander,90.51 ₹/L,,,
Prakasam,97.44 ₹/L,15.568231,79.342147,
Pratapgarh,90.69 ₹/L,25.78996,82.222938,
Pudukkottai,93.16 ₹/L,10.38608,78.817883,
Pulwama,85.43 ₹/L,33.87405,74.89955,
Pune,90.57 ₹/L,18.519479,73.870703,
Purba Bardhaman,92.44 ₹/L,23.252282,87.871087,
Purba Medinipur,91.33 ₹/L,21.954131,87.802573,
Puri,93.08 ₹/L,19.813328,85.831441,
Purnia,93.20 ₹/L,25.779588,87.475382,
Purulia,92.78 ₹/L,23.331925,86.365145,
